City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,Cox'S Bazar,21.4532,91.9798,24.18,89,94,2.51,BD,1698870888
242,Okhotsk,59.3833,143.3,-1.49,87,100,2.35,RU,1698870889
243,Cabedelo,-6.9811,-34.8339,28.37,81,83,6.78,BR,1698870714
244,Kone,-21.0595,164.8658,23.96,54,19,1.11,NC,1698870889
245,Mar Del Plata,-38.0023,-57.5575,11.08,58,40,7.2,AR,1698870757
246,Sona,45.4388,10.8255,11.99,93,40,1.54,IT,1698870889
247,Tolanaro,-25.0319,46.9987,24.04,88,40,10.8,MG,1698870890
248,Okha,53.5739,142.9478,-1.93,60,81,8.14,RU,1698870890
249,Luza,60.6308,47.2512,-1.89,93,100,4.62,RU,1698870890
250,Aydincik,36.1437,33.3202,23.35,60,100,1.18,TR,1698870890
251,Palmer,42.1584,-72.3287,5.71,81,75,3.6,US,1698870890
252,Katsuura,35.1333,140.3,17.89,68,0,2.24,JP,1698870890
253,Kani Keli,-12.9536,45.1033,26.59,76,1,2.35,YT,1698870891
254,Kasane,-17.8167,25.15,24.65,57,97,1.62,BW,1698870891
255,Kapa'A,22.0752,-159.319,27.99,72,0,2.57,US,1698870880
256,Hobyo,5.3505,48.5268,27.8,76,34,3.43,SO,1698870595
257,Tsiombe,-25.3,45.4833,22.58,81,48,3.98,MG,1698870891
258,Waiuku,-37.25,174.75,18.47,88,100,1.83,NZ,1698870892
259,Shitanjing,39.2342,106.3439,8.1,41,82,10.02,CN,1698870892
260,Pizhou,34.3114,117.9503,16.99,48,0,2.91,CN,1698870892
261,Den Burg,53.0542,4.7972,12.99,89,75,9.26,NL,1698870892
262,Banamba,13.55,-7.45,28.16,13,78,3.27,ML,1698870893
263,Leua,48.2156,18.6071,12.5,76,99,3.66,SK,1698870893
264,Sisimiut,66.9395,-53.6735,0.02,61,61,5.33,GL,1698870893
265,Morant Bay,17.8815,-76.4093,29.79,83,99,3.06,JM,1698870893
266,Connell,46.6635,-118.8611,7.78,68,100,0.88,US,1698870893
267,Pasuquin,18.3328,120.6177,25.97,94,75,1.03,PH,1698870894
268,Urangan,-25.3,152.9,20.75,73,100,6.81,AU,1698870894
269,Vodnyy,63.5046,53.4095,-10.88,99,75,1.07,RU,1698870894
270,La Tuque,47.4334,-72.7824,1.14,60,100,1.54,CA,1698870894
271,Nahiyat Ash Shinafiyah,31.5874,44.6602,27.16,34,92,2.95,IQ,1698870894
272,Lata,40.1629,-8.3327,18.78,92,95,5.36,PT,1698870894
273,Bima,-8.4667,118.7167,24.26,91,73,1.92,ID,1698870894
274,Sena Madureira,-9.0656,-68.6569,27.87,70,91,3.33,BR,1698870895
275,Porto Velho,-8.7619,-63.9039,31.03,62,75,2.06,BR,1698870895
276,Nueva Esperanza,15.2667,-87.6,26.79,91,100,1.19,HN,1698870895
277,Rome,34.257,-85.1647,12.17,27,0,4.63,US,1698870646
278,Badger,64.8,-147.5333,2.06,86,40,1.54,US,1698870895
279,Srivardhan,18.0333,73.0167,24.7,52,20,2.46,IN,1698870895
280,Hadibu,12.65,54.0333,26.12,74,100,4.28,YE,1698870895
281,Stephenville,32.2207,-98.2023,14.93,33,0,1.54,US,1698870896
282,Pacific Grove,36.6177,-121.9166,28.08,16,0,2.57,US,1698870896
283,Sinop,41.7711,34.8709,14.83,83,100,1.11,TR,1698870896
284,Am Timan,11.0297,20.2827,24.32,82,99,3.83,TD,1698870896
285,Phongsali,21.6833,102.1058,13.09,96,10,0.0,LA,1698870896
286,Jumla,29.2747,82.1838,6.71,68,0,2.43,NP,1698870896
287,Mana,5.6592,-53.7767,27.79,80,38,5.02,GF,1698870897
288,Arica,-18.475,-70.3042,24.75,64,0,4.63,CL,1698870897
289,Kingston,17.997,-76.7936,29.53,84,75,5.66,JM,1698870073
290,Taman',45.2117,36.7161,17.46,91,100,2.22,RU,1698870897
291,Sitka,57.0531,-135.33,6.94,81,40,0.0,US,1698870897
292,Zaozersk,69.4005,32.4476,-6.7,96,54,0.7,RU,1698870897
293,Laascaanood,8.4774,47.3597,23.79,76,99,7.26,SO,1698870897
294,Kapit,2.0167,112.9333,22.81,99,100,0.18,MY,1698870898
295,Codrington,-38.2667,141.9667,12.37,69,100,3.57,AU,1698870898
296,Burang,30.25,81.1667,-1.45,52,5,1.89,CN,1698870614
297,Buchanan,5.8808,-10.0467,26.1,84,37,2.39,LR,1698870898
298,Olyokminsk,60.3736,120.4264,-19.45,87,100,3.07,RU,1698870898
299,Chinde,26.8418,88.0763,13.83,71,14,2.27,NP,1698870898
300,Flying Fish Cove,-10.4217,105.6791,25.82,88,75,3.6,CX,1698870898
301,Toulepleu Guere,6.574,-8.4259,23.44,88,28,1.03,CI,1698870899
302,Port Arthur,38.8,121.2667,16.12,80,6,4.58,CN,1698870899
303,Newman,37.3138,-121.0208,23.49,12,24,2.01,US,1698870899
304,Suzun,53.7841,82.3116,0.39,99,100,2.82,RU,1698870740
305,Tambura,5.6,27.4667,21.77,95,100,0.73,SS,1698870899
306,Yuli,9.6989,10.2744,26.25,65,84,2.15,NG,1698870899
307,Muroto-Misakicho,33.2833,134.15,19.44,52,0,1.79,JP,1698870900
308,Mili,6.0815,171.735,28.18,74,93,2.78,MH,1698870900
309,Port Saint John'S,-31.6229,29.5448,16.93,83,100,5.17,ZA,1698870900
310,Sungho 1-Tong,38.9914,125.9778,14.67,92,0,2.43,KP,1698870900
311,Prince Rupert,54.3161,-130.3201,10.05,65,75,7.72,CA,1698870900
312,Osa,57.2829,55.4567,2.09,100,100,1.1,RU,1698870900
313,Ad Dawadimi,24.5077,44.3924,22.64,52,78,5.36,SA,1698870900
314,Ishigaki,24.3448,124.1572,25.07,83,20,5.14,JP,1698870901
315,Greenwood,34.1668,-82.1165,12.12,24,0,5.66,US,1698870610
316,Kralendijk,12.15,-68.2667,27.89,79,100,6.1,BQ,1698870889
317,Kourou,5.1552,-52.6478,30.03,79,44,4.05,GF,1698870901
318,Crane,31.3974,-102.3501,14.69,26,0,6.81,US,1698870901
319,Nemuro,43.3236,145.575,12.15,89,100,7.63,JP,1698870902
320,Bonthe,7.5264,-12.505,26.36,83,19,2.87,SL,1698870902
321,Talara,-4.5772,-81.2719,25.42,65,0,6.69,PE,1698870903
322,Lodja,-3.4833,23.4333,21.22,99,84,0.88,CD,1698870903
323,Lompoc,34.6391,-120.4579,30.99,12,0,3.09,US,1698870903
324,Santa Ana,33.7456,-117.8678,32.14,11,20,2.06,US,1698870689
325,Tagiura,32.8817,13.3506,27.01,45,50,4.09,LY,1698870904
326,Viedma,-40.8135,-62.9967,12.33,36,23,6.74,AR,1698870904
327,Selfoss,63.9331,-20.9971,1.14,56,0,6.6,IS,1698870905
328,Val-D'Or,48.1002,-77.7828,-1.95,64,75,4.63,CA,1698870906
329,Fujin,47.26,132.0322,-3.02,45,75,2.77,CN,1698870906
330,Magadan,59.5667,150.8,-1.02,92,100,3.91,RU,1698870906
331,Mengcheng Chengguanzhen,33.2661,116.566,17.77,51,0,0.85,CN,1698870907
332,Yasnyy,51.0333,59.8742,8.89,92,34,5.3,RU,1698870908
333,Tofol,5.3248,163.0078,27.49,77,86,3.86,FM,1698870908
334,Santa Cruz,-17.8,-63.1667,31.7,58,40,10.8,BO,1698870658
335,Vadso,70.0744,29.7487,-0.91,80,75,4.12,NO,1698870909
336,San Antonio De Pale,-1.4014,5.6325,26.43,84,34,3.84,GQ,1698870910
337,Gryazi,52.4966,39.9359,15.1,55,99,5.81,RU,1698870882
338,Wick,58.4333,-3.0833,9.03,93,100,8.23,GB,1698870910
